City,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Port-Cartier,90,CA,81,50.03,-66.88,50.0,5.82
Visnes,0,NO,68,59.36,5.22,66.2,2.24
Vostok,44,RU,86,46.45,135.83,60.82,2.37
Port Hawkesbury,1,CA,55,45.62,-61.36,64.4,9.17
Yulara,0,AU,41,-25.24,130.99,39.2,6.93
Chuy,80,UY,96,-33.69,-53.46,57.67,23.85
Nantucket,90,US,100,41.28,-70.1,68.0,9.17
Novyy Urengoy,92,RU,93,66.08,76.63,33.82,11.54
Cape Town,75,ZA,76,-33.93,18.42,53.6,13.87
Los Llanos de Aridane,36,ES,72,28.66,-17.92,68.0,14.99
Yanam,36,IN,88,16.73,82.22,83.14,2.59
Soure,75,PT,93,40.06,-8.63,59.0,12.75
Blythe,1,US,12,33.61,-114.59,93.2,4.7
Chuguyevka,64,RU,77,44.17,133.87,63.88,4.61
Jamestown,32,AU,80,-33.21,138.6,31.84,4.05
Makakilo City,90,US,65,21.35,-158.09,84.2,10.29
Saint-Pierre,75,FR,87,48.95,4.24,62.6,4.7
Ibra,0,OM,45,22.69,58.55,72.79,2.15
Bambous Virieux,75,MU,88,-20.34,57.76,69.8,8.05
Mingaora,0,PK,64,34.78,72.36,56.32,2.04
Nargana,88,PA,100,9.44,-78.59,83.59,6.17
Thompson,75,CA,24,55.74,-97.86,59.0,8.05
Bandarbeyla,88,SO,86,9.49,50.81,78.82,30.11
Suez,0,EG,49,29.97,32.54,74.41,9.64
Raymondville,1,US,36,37.34,-91.83,91.4,6.93
Buncrana,48,GB,100,55.14,-7.45,58.57,2.37
Urucara,56,BR,47,-2.54,-57.76,91.15,4.5
Rawson,0,AR,70,-43.3,-65.11,41.65,5.95
Nikolskoye,20,RU,54,59.7,30.79,59.0,8.95
Sidi Ali,64,DZ,79,36.1,0.42,63.88,1.59
Yellowknife,75,CA,29,62.45,-114.38,62.6,16.11
Ribeira Grande,75,PT,88,38.52,-28.7,69.8,8.05
Nakamura,20,JP,82,35.17,136.87,64.4,6.93
Venafro,0,IT,68,41.48,14.05,69.8,1.12
Manggar,36,ID,98,-2.88,108.27,77.92,2.15
Susanville,1,US,28,40.42,-120.65,68.0,5.82
Copalillo,0,MX,36,18.03,-99.04,90.79,0.92
Maple Creek,92,CA,100,49.91,-109.46,47.5,14.67
Dera Bugti,0,PK,32,29.03,69.15,76.21,3.38
Pacific Grove,1,US,28,36.62,-121.92,80.6,9.17
Mayumba,92,GA,97,-3.44,10.65,76.57,7.4
Baker City,1,US,31,44.77,-117.83,64.4,3.04
Ushuaia,40,AR,65,-54.81,-68.31,44.6,26.4
Ukiah,1,US,18,39.15,-123.21,80.6,3.36
Bilma,0,NE,20,18.69,12.92,80.44,5.06
Lubao,75,PH,78,14.94,120.6,84.2,2.24
Mandalgovi,0,MN,42,45.76,106.27,50.29,15.68
Ampanihy,0,MG,78,-24.69,44.75,64.87,7.4
Gunnedah,0,AU,86,-30.98,150.25,30.2,5.5
Ubinskoye,8,RU,52,55.31,79.68,60.46,15.12
Boyolangu,24,ID,92,-8.09,111.9,65.14,2.93
Inirida,56,CO,82,3.87,-67.92,79.72,2.71
Aswan,0,EG,24,24.09,32.9,82.06,10.76
Kidal,76,ML,17,18.44,1.41,94.39,6.06
Thyolo,0,MW,81,-16.07,35.15,53.35,2.37
Chinsali,0,ZM,47,-10.55,32.07,62.62,8.41
Upata,56,VE,87,8.02,-62.41,78.82,7.18
Aklavik,75,CA,61,68.22,-135.01,59.0,9.17
Hauterive,20,FR,82,46.09,3.45,60.8,2.24
Belmonte,0,PT,74,40.36,-7.35,54.43,5.95
Sol-Iletsk,36,RU,62,51.16,55.0,41.02,11.21
Saint-Augustin,0,FR,77,44.83,-0.61,66.2,8.05
Union Hidalgo,68,MX,97,16.47,-94.83,84.31,8.41
Sun City West,1,US,16,33.66,-112.34,96.8,9.17
Port Elizabeth,20,US,66,39.31,-74.98,86.0,3.36
Castro,0,CL,84,-42.48,-73.76,44.26,5.61
Georgetown,20,GY,83,6.8,-58.16,80.6,13.87
Pevek,24,RU,87,69.7,170.27,35.98,20.71
Ratnagiri,64,IN,100,16.98,73.3,84.22,3.49
Dhrangadhra,48,IN,62,22.99,71.47,85.39,9.08
Kamaishi,0,JP,92,39.28,141.86,55.15,3.38
Isangel,0,VU,100,-19.55,169.27,75.85,7.96
Kruisfontein,0,ZA,87,-34.0,24.73,57.76,14.12
South Charleston,75,US,88,38.37,-81.7,73.4,8.05
Fort Wellington,32,GY,98,6.4,-57.6,80.08,15.79
Ballina,0,IE,93,54.11,-9.15,59.0,4.7
Lasa,20,CY,88,34.92,32.53,71.6,4.7
Corpus Christi,40,US,63,27.8,-97.4,96.8,19.46
Zhangye,20,CN,40,38.94,100.46,52.54,4.94
Worland,75,US,55,44.02,-107.96,64.4,4.7
Saint Anthony,90,US,81,43.97,-111.68,57.2,11.41
Hofn,64,IS,100,64.25,-15.21,46.51,5.61
Takayama,0,JP,77,36.14,137.25,62.6,5.82
Azare,0,NG,59,11.67,10.19,79.18,6.73
Lanzhou,0,CN,53,36.06,103.82,50.0,6.71
Muros,75,ES,93,42.77,-9.06,53.6,4.7
Adrar,92,DZ,19,27.87,-0.29,93.2,9.17
Tuktoyaktuk,75,CA,70,69.44,-133.03,53.6,12.75
Fortuna,0,ES,82,38.18,-1.13,68.0,2.24
Ayr,20,GB,77,55.46,-4.63,64.4,3.36
Heihe,20,RU,87,50.24,127.51,59.0,2.24
Agadez,12,NE,15,16.97,7.99,85.03,8.63
Broome,92,GB,100,52.47,1.45,68.0,2.24
Kysyl-Syr,0,RU,51,63.9,122.77,46.96,11.1
Berdigestyakh,0,RU,40,62.1,126.7,50.38,6.73
Shache,0,CN,63,38.42,77.24,54.61,2.48
Santa Maria,90,BR,100,-29.69,-53.81,59.0,8.05
Balabac,92,PH,100,7.99,117.06,80.71,24.85
Nyurba,0,RU,39,63.29,118.35,48.85,6.17
Wagar,36,US,80,31.44,-87.99,85.3,4.5
